step,entropy
230,0.00216113
231,0.00191556
232,0.00220677
233,0.00049783
234,0.00693742
235,0.00631183
236,0.00368586
237,0.04297479
238,0.00023889
239,0.00674421
240,0.00221299
241,0.00124601
242,0.00657391
243,0.00051962
244,0.01470118
245,0.01739723
246,0.01077897
247,0.01259106
248,0.00083123
249,0.00362164
250,0.00190943
251,0.00103389
252,0.00105689
253,0.00215607
254,0.00341563
255,0.01109321
256,0.00471504
257,0.00251759
258,0.00327472
259,0.00138581
260,0.00789405
261,0.00734627
262,0.01347717
263,0.01655505
264,0.00896614
265,0.00272255
266,0.00102827
267,0.00123126
268,0.02117409
269,0.00800164
270,0.00327950
271,0.00974994
272,0.00212810
273,0.00127479
274,0.00382268
275,0.01031463
276,0.02556200
277,0.00269456
278,0.00762199
279,0.02442451
280,0.00314295
281,0.00297050
282,0.00248116
283,0.00186615
284,0.01025696
285,0.00542843
286,0.00364385
287,0.00183035
288,0.01020599
289,0.00297042
290,0.54813430
291,0.00111006
292,0.00099647
293,0.01131542
294,0.03027318
295,0.00378410
296,0.00014773
297,0.00594444
298,0.02080275
299,0.02395939
300,0.01211620
301,0.00125642
302,0.00141291
303,0.00969989
304,0.01313075
305,0.00381664
306,0.35494565
307,0.00202590
308,0.01314789
309,0.00122190
310,0.00395014
311,0.00349146
312,0.00874050
313,0.01742293
314,0.00651152
315,0.00842762
316,0.01498309
317,0.00304863
318,0.00014019
319,0.00515394
320,0.02845078
321,0.00114212
322,0.00177921
323,0.00194641
324,0.01071487
325,0.00160336
326,0.00942598
327,0.02456644
328,0.11222412
329,0.00649018
330,0.00323600
331,0.00615213
332,0.00141173
333,0.00674755
334,0.00690446
335,0.01062771
336,0.00120622
337,0.00261116
338,0.00240032
339,0.00313888
340,0.00336142
341,0.00381586
342,0.02003534
343,0.00176397
344,0.00719664
345,0.00041316
346,0.00147462
347,0.00704308
348,0.00970953
349,0.00142759
350,0.03492086
351,0.00105574
352,0.00019348
353,0.00916620
354,0.00597139
355,0.00860905
356,0.00279785
357,0.03067352
358,0.00203741
359,0.00197195
360,0.01095066
361,0.00178650
362,0.00775339
363,0.00217121
364,0.00750006
365,0.00958006
366,0.02208500
367,0.02255918
368,0.00762132
369,0.00318444
370,0.00680246
371,0.00263616
372,0.00150073
373,0.00173770
374,0.00282518
375,0.02005493
376,0.01325289
377,0.01230558
378,0.00200323
379,0.01289921
380,0.00156253
381,0.01516237
382,0.00225941
383,0.00110068
384,0.01468386
385,0.00242326
386,0.00157668
387,0.00402067
388,0.00194578
389,0.00639060
390,0.00322844
391,0.37769479
392,0.00876444
393,0.00232038
394,0.01845933
395,0.00085232
396,0.01997974
397,0.01029130
398,0.00617471
399,0.00814089
400,0.01190778
401,0.00131397
402,0.00793467
403,0.00282964
404,0.00289217
405,0.00628059
406,0.03439705
407,0.00206024
408,0.00155677
409,0.00685924
410,0.00190168
411,0.00683600
412,0.00189282
413,0.00654039
414,0.01185653
415,0.50513951
416,0.00367373
417,0.00928318
418,0.01899038
419,0.01455145
420,0.01816479
421,0.00131874
422,0.00756494
423,0.00085669
424,0.00148636
425,0.01307758
426,0.00139331
427,0.00955834
428,0.01071736
429,0.00328679
430,0.00269901
431,0.00607819
432,0.00788857
433,0.00572754
434,0.00119054
435,0.00181242
436,0.00596187
437,0.00135101
438,0.00083358
439,0.01621046
440,0.30365132
441,0.00641134
442,0.00632840
443,0.00107403
444,0.01316305
445,0.04768049
446,0.00367278
447,0.00299863
448,0.00443362
449,0.00711375
450,0.00118256
451,0.00247826
452,0.00389946
453,0.00205154
454,0.01829804
455,0.00647187
456,0.00325153
457,0.00357854
458,0.00940512
459,0.00152083
460,0.00287689
461,0.00630580
462,0.00193556
463,0.00690020
464,0.02085634
465,0.00977472
466,0.00407214
467,0.00329110
468,0.00257553
469,0.01321628
470,0.01110016
471,0.01422173
472,0.00749498
473,0.00188993
474,0.00934832
475,0.01254814
476,0.02112447
477,0.00093274
478,0.01240656
479,0.05883968
480,0.00865149
481,0.00202404
482,0.01083253
483,0.00349680
484,0.00384067
485,0.00376292
486,0.01084627
487,0.00075625
488,0.01487069
489,0.00186780
490,0.02293768
491,0.00101735
492,0.01106403
493,0.00703493
494,0.00198541
495,0.00376390
496,0.00153410
497,0.02132332
498,0.00061417
499,0.00026354
500,0.01022729
501,0.00140127
502,0.00098001
503,0.02136851
504,0.00659108
505,0.00241174
506,0.01120695
507,0.02310062
508,0.00148436
509,0.01462913
510,0.01083086
511,0.02790248
512,0.01713182
513,0.01245534
514,0.00368411
515,0.00118478
516,0.00388393
517,0.00202653
518,0.00697772
519,0.01706805
520,0.01146777
521,0.00331096
522,0.00995515
523,0.00403647
524,0.00379029
525,0.00030227
526,0.00181684
527,0.00747207
528,0.00805586
529,0.00172968
530,0.00178854
531,0.00097946
532,0.00337761
533,0.00156394
534,0.01323953
535,0.00251864
536,0.00304007
537,0.00338619
538,0.00937874
539,0.00089067
540,0.02610041
541,0.00709157
542,0.00683328
543,0.00106220
544,0.03042621
545,0.00072531
546,0.00113806
547,0.00134950
548,0.38429221
549,0.00117008
550,0.00799708
551,0.00448618
552,0.00383445
553,0.00123794
554,0.00061966
555,0.00653670
556,0.00623415
557,0.00145371
558,0.00226831
559,0.00094495
560,0.02810638
561,0.01400162
562,0.00289383
563,0.00063293
564,0.00254803
565,0.01204001
566,0.00534740
567,0.00116297
568,0.01129001
569,0.01220070
570,0.00100238
571,0.00642618
572,0.00379033
573,0.00615328
574,0.00266423
575,0.00393062
576,0.00664078
577,0.01724193
578,0.00688224
579,0.00918048
580,0.00179490
581,0.00134050
582,0.00697342
583,0.00355580
584,0.00158264
585,0.00671330
586,0.01704754
587,0.01352619
588,0.00680216
589,0.00169780
590,0.01534441
591,0.00365955
592,0.00593191
593,0.00969528
594,0.00097575
595,0.01494091
596,0.00169891
597,0.00148357
598,0.03101363
599,0.00250141
600,0.00360025
601,0.00339727
602,0.01076583
603,0.01539099
604,0.01599643
605,0.00123710
606,0.00212917
607,0.00654082
608,0.00606068
609,0.04749855
610,0.31001973
611,0.00333994
612,0.00324573
613,0.01348136
614,0.00886287
615,0.01202694
616,0.00694912
617,0.00084439
618,0.01474522
619,0.00832310
620,0.00330771
621,0.00933434
622,0.00168894
623,0.01713057
624,0.01177131
625,0.01119998
626,0.00421286
627,0.00610449
628,0.01655995
629,0.00182062
630,0.00144905
631,0.00310037
632,0.00156059
633,0.00391745
634,0.01105698
635,0.04136765
636,0.00215161
637,0.00318161
638,0.24179309
639,0.01556784
640,0.00303150
641,0.00940774
642,0.00645463
643,0.00272146
644,0.00359366
645,0.02139386
646,0.00365049
647,0.01280898
648,0.13434271
649,0.00046035
650,0.00238603
651,0.00683066
652,0.00205247
653,0.00231590
654,0.00658160
655,0.00310454
656,0.01344601
657,0.00643244
658,0.00085029
659,0.10761108
660,0.00343995
661,0.01045789
662,0.00669607
663,0.00051769
664,0.01049505
665,0.02547723
666,0.00649367
667,0.00380945
668,0.00158988
669,0.01069028
670,0.00162661
671,0.00625377
672,0.00734689
673,0.00374448
674,0.01734951
675,0.00389049
676,0.00134162
677,0.00400155
678,0.01829055
679,0.00187072
680,0.02185816
681,0.00967976
682,0.00093455
683,0.00305974
684,0.00357764
685,0.00332649
686,0.01641751
687,0.00250499
688,0.00632921
689,0.00140361
690,0.01402564
691,0.01665659
692,0.00334568
693,0.00032319
694,0.00406872
695,0.00428033
696,0.00984533
697,0.02218928
698,0.00337498
699,0.00663959
700,0.00627874
701,0.00294254
702,0.01554796
703,0.00339766
704,0.00788098
705,0.00370592
706,0.00094379
707,0.00593575
708,0.00180630
709,0.00042890
710,0.00105156
711,0.00365744
712,0.01785417
713,0.13611893
714,0.00137995
715,0.00118799
716,0.00113606
717,0.00663433
718,0.02202049
719,0.00820480
720,0.00622488
721,0.00368139
722,0.00013735
723,0.00641153
724,0.00296286
725,0.01300713
726,0.05168902
727,0.00163246
728,0.01220753
729,0.00583212
730,0.00858630
731,0.00137067
732,0.02460814
733,0.00385037
734,0.00158183
735,0.00348528
736,0.00339849
737,0.00075560
738,0.00129878
739,0.04703882
740,0.01706038
741,0.00128656
742,0.02249679
743,0.00657548
744,0.00669915
745,0.00498223
746,0.01260021
747,0.00113544
748,0.00083097
749,0.00629817
750,0.00114327
751,0.00709136
752,0.00266165
753,0.00039087
754,0.16976268
755,0.00609655
756,0.02343580
757,0.00729529
758,0.00120090
759,0.00701971
760,0.00362351
761,0.00949953
762,0.00894369
763,0.00315768
764,0.36746352
765,2.07903700
766,0.00187204
767,0.00637828
768,0.00119176
769,0.02942081
770,0.00117458
771,0.01375231
772,0.00214335
773,0.00147419
774,0.01220504
775,0.00028718
776,0.00525845
777,0.00979882
778,1.92161003
779,0.00403525
780,0.00403271
781,0.02812230
782,0.38972462
783,0.00913379
784,0.01473183
785,0.03176268
786,0.00638892
787,0.01207238
788,0.00569316
789,0.01061112
790,0.00406545
791,0.00310004
792,0.00185614
793,0.00656930
794,0.00376569
795,0.00234703
796,0.01114289
797,0.02311829
798,0.00345097
799,0.00121463
800,0.02215926
801,0.01411130
802,0.00561339
803,0.00364837
804,0.00258546
805,0.04621899
806,0.00377250
807,0.01156987
808,0.00301021
809,0.00143237
810,0.00675509
811,0.00864345
812,0.00211992
813,0.02038185
814,0.01524555
815,0.06860391
816,0.01553331
817,0.00180663
818,0.01061206
819,0.00124809
820,1.31453664
821,0.01996074
822,0.00187185
823,0.11800772
824,0.00071730
825,0.00647052
826,0.00189750
827,0.00626966
828,0.00126648
829,0.00129567
830,0.00150615
831,0.00183457
832,0.00662030
833,0.00665958
834,0.01997482
835,0.00805936
836,0.00025764
837,0.20760637
838,0.00410828
839,0.00947922
840,0.01514015
841,0.00195299
842,0.00143045
843,0.00080530
844,0.00614785
845,0.00144964
846,0.00365789
847,0.00739829
848,0.00696811
849,0.21910304
850,0.00352088
851,0.00663066
852,0.00674781
853,0.00360373
854,0.00675739
855,0.00812070
856,0.02526636
857,0.01270098
858,0.01345751
859,0.00199352
860,0.00287704
861,0.01296627
862,0.00548248
863,0.01130533
864,0.01005589
865,0.00123590
866,0.02856819
867,0.00949710
868,0.00098484
869,0.00169088
870,0.00340398
871,0.00216988
872,0.00405989
873,0.02487916
874,0.00459250
875,0.01461131
876,0.00033613
877,0.01004033
878,0.00638005
879,0.00170923
880,0.02399268
881,0.00148340
882,0.01969868
883,0.02179511
884,0.00869991
885,0.01316636
886,0.00296330
887,0.01029732
888,0.04176908
889,0.00868499
890,0.00142893
891,0.00381575
892,0.00898589
893,0.00990236
894,0.00358751
895,0.00277290
896,0.01111375
897,0.00265832
898,0.00845900
899,0.00983938
900,0.00205470
901,0.00055420
902,0.00367271
903,0.00307029
904,0.01976014
905,0.00759233
906,0.00241073
907,0.01160791
908,0.00198081
909,0.01314875
910,0.01690069
911,0.00371535
912,0.00327845
913,0.00642386
914,0.00362567
915,0.00594535
916,0.00754800
917,0.01733942
918,0.00340055
919,0.00372583
920,0.00623423
921,0.00375668
922,0.01166859
923,0.01318246
924,0.00619230
925,0.00133127
926,0.00267617
927,0.00400209
928,0.00219433
929,0.00872195
930,0.02382270
931,0.00138104
932,0.01770998
933,1.23231626
934,0.00227128
935,0.00426493
936,0.01045098
937,0.00137453
938,0.00682238
939,0.00375009
940,0.02681756
941,0.00793300
942,0.00129310
943,0.00153704
944,0.01514033
945,0.00749475
946,0.02624906
947,0.00381857
948,0.02303318
949,0.00171364
950,0.00090602
951,0.00022297
952,0.01916356
953,0.00151229
954,0.00928267
955,0.00868734
956,0.00138027
957,0.01201285
958,0.00123296
959,0.00154643
960,0.00341684
961,0.01223651
962,0.00174578
963,0.01772630
964,0.00363160
965,0.00036302
966,0.00280798
967,0.00093363
968,0.01036834
969,0.00366427
970,0.00379920
971,0.00972964
972,0.00082554
973,0.00324156
974,0.00121639
975,0.00680734
976,0.00166851
977,0.00988671
978,0.00066490
979,0.00327664
980,0.00688469
981,0.00128096
982,0.01188595
983,0.00054276
984,0.01051119
985,0.00326382
986,0.00967443
987,0.00125145
988,0.01982712
989,0.00310091
990,0.02279398
991,0.00578114
992,0.00094234
993,0.01310058
994,0.00756157
995,0.00818952
996,0.00719544
997,0.00281770
998,0.00149225
999,0.01942807
1000,0.01084556
1001,0.00339975
1002,0.02819906
1003,0.00139465
1004,0.03258440
1005,0.00343247
1006,0.00020732
1007,0.00661010
1008,0.01521286
1009,0.03694329
1010,0.00683922
1011,0.00201931
1012,0.00343060
1013,0.00374394
1014,0.00321504
1015,0.00424572
1016,0.01578009
1017,0.00602511
1018,0.02834455
1019,0.00184197
1020,0.00275468
1021,0.01330291
1022,0.00803602
1023,0.00137070
1024,0.00971621
1025,0.00173062
1026,0.02285594
1027,0.00381280
1028,0.02550882
1029,0.00354840
1030,0.02296900
1031,0.00157300
1032,0.00682757
1033,0.00524126
1034,0.00054799
1035,0.00327852
1036,0.00207934
1037,0.00191649
1038,0.00154779
1039,0.00626791
1040,0.00037886
1041,0.01209790
1042,0.00339121
1043,0.02931066
1044,0.00309785
1045,0.02307067
1046,0.01777273
1047,0.49296624
1048,0.00214877
1049,0.00767274
1050,0.00961488
1051,0.00121318
1052,0.00336007
1053,0.00693818
1054,0.00883050
1055,0.00033819
1056,0.00649150
1057,0.01230305
1058,0.02487223
1059,0.00221589
1060,0.00179939
1061,0.00322489
1062,0.01915404
1063,0.00303166
1064,0.01484163
1065,0.00693520
1066,0.02103059
1067,0.00154899
1068,0.02393023
1069,0.00888830
1070,0.00314145
1071,0.01176664
1072,0.00360184
1073,0.07141604
1074,0.00119802
1075,0.00063358
1076,0.02479541
1077,0.00266525
1078,0.00682477
1079,0.00308428
1080,0.01198984
1081,0.00718448
1082,0.00721176
1083,0.00035843
1084,0.00353960
1085,0.00337657
1086,0.02223410
1087,0.00249368
1088,0.00186132
1089,0.00117082
1090,0.00316395
1091,0.00717894
1092,0.00746502
1093,0.00799111
1094,0.00177059
1095,0.00245797
1096,0.00618182
1097,0.00751310
1098,0.00124113
1099,0.00365712
1100,0.00189043
1101,0.00371369
1102,0.00109565
1103,0.00364792
1104,0.00105584
1105,0.01401205
1106,0.03076199
1107,0.01017463
1108,0.02234668
1109,0.00880170
1110,0.00024868
1111,0.00187933
1112,0.01044498
1113,0.07757536
1114,0.00324492
1115,0.00927640
1116,0.00369149
1117,0.00169045
1118,0.00226642
1119,0.01452896
1120,0.00095075
1121,0.00363645
1122,0.00698788
1123,0.00121012
1124,0.00267553
1125,0.00153991
1126,0.00769288
1127,0.00325654
1128,0.00332238
1129,0.00915861
1130,0.00674823
1131,0.01414124
1132,0.00498452
1133,0.02263771
1134,0.01617060
1135,0.00180549
1136,0.00152431
1137,0.01588093
1138,0.01159999
1139,0.00810875
1140,0.00360574
1141,0.00358406
1142,0.00363201
1143,0.00369076
1144,0.00350985
1145,0.02103453
1146,0.00812976
1147,0.00372462
1148,0.00357500
1149,0.00208106
1150,0.00072626
1151,0.00760874
1152,0.00324133
1153,0.00338108
1154,0.00341861
1155,0.00925278
1156,0.00182648
1157,0.00256771
1158,0.00911621
1159,0.00082122
1160,0.00126023
1161,0.00275465
1162,0.00123443
1163,0.01104475
1164,0.01449464
1165,0.01417864
1166,0.00269910
1167,0.00334186
1168,0.03226296
1169,0.00105020
1170,0.03280866
1171,0.02096021
1172,0.00243839
1173,0.00118799
1174,0.01608383
1175,0.72840884
1176,0.03908084
1177,0.00213005
1178,0.01621430
1179,0.00636502
1180,0.00203492
1181,0.00376249
1182,0.00146929
1183,0.00607339
1184,0.00360831
1185,0.01222219
1186,0.00312819
1187,0.00130520
1188,0.00811029
1189,0.00137464
1190,0.00174029
1191,0.00144420
1192,0.00681203
1193,0.00281634
1194,0.01767796
1195,0.00131143
1196,0.02260636
1197,0.00378113
1198,0.01582846
1199,0.00293941
1200,0.00099569
1201,0.00111304
1202,0.00211381
1203,0.01038684
1204,0.00347271
1205,0.00270071
1206,0.00382394
1207,0.00352755
1208,0.00217101
1209,0.00145724
1210,0.00191978
1211,0.00187369
1212,0.00229994
1213,0.00042708
1214,0.00321943
1215,0.00580865
1216,0.02155775
1217,0.00142494
1218,0.00139236
1219,0.01217114
1220,0.00603894
1221,0.00190966
1222,0.01062814
1223,0.00342331
1224,0.01036922
1225,0.00069852
1226,0.05366522
1227,0.01158344
1228,0.00645771
1229,0.01203682
1230,0.00163517
1231,0.00581834
1232,0.00371640
1233,0.01608361
1234,0.00869517
1235,0.01452087
1236,0.00297891
1237,0.02806719
1238,0.00934682
1239,0.00160450
1240,0.00749194
1241,0.00228686
1242,0.01850274
1243,0.00224386
1244,0.05564260
1245,0.00175328
1246,0.00342154
1247,0.01978493
1248,0.01081884
1249,0.00172744
1250,0.00957552
1251,0.00120103
1252,0.00219585
1253,0.00344818
1254,0.00112795
1255,0.00117803
1256,0.04018678
1257,0.00143553
1258,0.00361960
1259,0.00160734
1260,0.00720485
1261,0.53203395
1262,0.01280024
1263,0.00391677
1264,0.00152388
1265,0.00596698
1266,0.01318744
1267,0.00835501
1268,0.00361557
1269,0.00183021
1270,0.00135922
1271,0.00154347
1272,0.01507504
1273,0.01006874
1274,0.00725862
1275,0.00993318
1276,0.00090692
1277,0.00806177
1278,0.01562411
1279,0.00083614
1280,0.02184208
1281,0.00147492
1282,0.00163531
1283,0.00375795
1284,0.00371900
1285,0.00706674
1286,0.01303507
1287,0.00360590
1288,0.00359824
1289,0.00095662
1290,0.00334088
1291,0.02183292
1292,0.01392339
1293,0.00358845
1294,0.00222721
1295,0.00801140
1296,0.00660431
1297,0.00380573
1298,0.00135502
1299,0.12924603
1300,0.00332333
1301,0.00130692
1302,0.01109041
1303,0.00085826
1304,0.00057669
1305,0.00913191
1306,0.00121397
1307,0.00094882
1308,0.00767445
1309,0.00361460
1310,0.00622726
1311,0.00372077
1312,0.00908872
1313,0.00373685
1314,0.00588477
1315,0.01384201
1316,0.00021018
1317,0.00151658
1318,0.01301499
1319,0.00344179
1320,0.00293759
1321,0.00621894
1322,0.00136408
1323,0.00747572
1324,0.00827109
1325,0.01657380
1326,0.01110914
1327,0.02442000
1328,0.00690997
1329,0.01525450
1330,0.02865291
1331,0.00436121
1332,0.15623262
1333,0.00376155
1334,0.00387087
1335,0.00126896
1336,0.00644175
1337,0.00178986
1338,0.00027021
1339,0.00134443
1340,0.00193298
1341,0.00146216
1342,0.00130663
1343,0.00325858
1344,0.00271630
1345,0.00112359
1346,0.00271206
1347,0.00786832
1348,0.01296819
1349,0.01472436
1350,0.00662753
1351,0.00087081
1352,0.00653745
1353,0.01082833
1354,0.00162179
1355,0.00144385
1356,0.01029713
1357,0.01143690
1358,0.00197348
1359,0.00364959
1360,0.01369766
1361,0.00317263
1362,0.00289808
1363,0.00191686
1364,0.00381926
1365,0.00106788
1366,0.00772235
1367,0.01038324
1368,0.00828135
1369,0.00375123
1370,0.00161187
1371,0.01322839
1372,0.00090745
1373,0.00138987
1374,0.00223969
1375,0.00927596
1376,0.00147509
1377,0.01152769
1378,0.00166833
1379,0.00140083
1380,0.03161564
1381,0.00112231
1382,0.00135820
1383,0.00172002
1384,0.00051569
1385,0.00307417
1386,0.00157763
1387,0.00358896
1388,0.02253075
1389,0.00352143
1390,0.00325414
1391,0.00135457
1392,0.00329235
1393,0.00661008
1394,0.00151853
1395,0.00335991
1396,0.01172234
1397,0.00206113
1398,0.00079999
1399,0.02558168
1400,0.01461722
1401,0.00403225
1402,0.00999831
1403,0.01130112
1404,0.00124976
1405,0.00130286
1406,0.01843932
1407,0.00715258
1408,0.01871977
1409,0.00135531
1410,0.00804008
1411,0.00745753
1412,0.00159190
1413,0.00181403
1414,0.00115808
1415,0.01424447
1416,0.01393493
1417,0.01572420
1418,0.00860504
1419,0.00148769
1420,0.00667066
1421,0.00139655
1422,0.00140886
1423,0.33413822
1424,0.01542023
1425,0.00477071
1426,0.00142021
1427,0.00658980
1428,0.00368171
1429,0.00150528
1430,0.00589331
1431,0.01978278
1432,0.00357518
1433,0.00972612
1434,0.01012236
1435,0.00094788
1436,0.00038896
1437,0.00323464
1438,0.02447068
1439,0.00143106
1440,0.00125942
1441,0.00101849
1442,0.00315065
1443,0.00151785
1444,0.00389766
1445,0.00630201
1446,0.00948299
1447,0.00149571
1448,0.00330828
1449,0.02456346
1450,0.00204388
1451,0.00403350
1452,0.00079709
1453,0.01322194
1454,0.00132883
1455,0.01764806
1456,0.00859386
1457,0.00652643
1458,0.00110196
1459,0.00011271
1460,0.09040042
1461,0.00076196
1462,0.00229588
1463,0.00484425
1464,0.01250826
1465,0.00230966
1466,0.00043823
1467,0.01391673
1468,0.00136035
1469,0.00539768
1470,0.00382039
1471,0.00790301
1472,0.00013569
1473,0.00170449
1474,0.00110508
1475,0.00402359
1476,0.00152564
1477,0.00278316
1478,0.00063995
1479,0.00025837
1480,0.00914007
1481,0.00360354
1482,0.00678082
1483,0.01822142
1484,0.02340605
1485,0.00157410
1486,0.00181339
1487,0.00374166
1488,0.00673885
1489,0.00275036
1490,0.00593123
1491,0.00825716
1492,0.00902809
1493,0.00241652
1494,0.01566000
1495,0.00682720
1496,0.00743140
1497,0.00214533
1498,0.00925849
1499,0.00557647
1500,0.00308519
1501,0.00129635
1502,0.01353376
1503,0.03539272
1504,0.00366238
1505,0.00607646
1506,0.02073638
1507,0.00195967
1508,0.01589287
1509,0.00344093
1510,0.00076839
1511,0.00149580
1512,0.00400448
1513,0.00135272
1514,0.00202047
1515,0.01040874
1516,0.01193837
1517,0.01887727
1518,0.00142284
1519,0.00250513
1520,0.00299457
1521,0.00210519
1522,0.00120059
1523,0.00044459
1524,0.02056181
1525,0.00616037
1526,0.06181288
1527,0.01996346
1528,0.00149121
1529,0.00304250
1530,0.00320036
1531,0.00351958
1532,0.00395711
1533,0.08189417
1534,0.02478258
1535,0.01380678
1536,0.00384328
1537,0.00391837
1538,0.00143239
1539,0.00048581
1540,0.01501885
1541,0.00637466
1542,0.01721228
1543,0.01219384
1544,0.00749074
1545,0.00139013
1546,0.00105975
1547,0.00143146
1548,0.00353694
1549,0.00373489
1550,0.00152321
1551,0.00130625
1552,0.00175372
1553,0.01025692
1554,0.00153616
1555,0.00211597
1556,0.00162577
1557,0.00720925
1558,0.00113745
1559,0.01284287
1560,0.00391686
1561,0.00584268
1562,0.00145187
1563,0.01292915
1564,0.00998006
1565,0.00385845
1566,0.00019494
1567,0.00812824
1568,0.00141045
1569,0.00634378
1570,0.00154421
1571,0.00156109
1572,0.00722285
1573,0.00320469
1574,0.07350456
1575,0.00327551
1576,0.00312659
1577,0.00396093
1578,0.00129272
1579,0.00163998
1580,0.01511777
1581,0.00133437
1582,0.00150807
1583,0.00824378
1584,0.00112627
1585,0.01099272
1586,0.00029983
1587,0.00352135
1588,0.00247360
1589,0.00676013
1590,0.00675640
1591,0.00339188
1592,0.00124639
1593,0.00211163
1594,0.01258711
1595,0.00723350
1596,0.00145188
1597,0.00660982
1598,0.00690885
1599,0.00877778
1600,0.00160323
1601,0.00347105
1602,0.00287859
1603,0.00379528
1604,0.00235263
1605,0.00164339
1606,0.01151056
1607,0.00781970
1608,0.02174764
1609,0.01668078
1610,0.00157855
1611,0.00347452
1612,0.00887491
1613,0.00292559
1614,0.00190845
1615,0.00341683
1616,0.00397101
1617,2.00459576
1618,0.00183800
1619,0.00221137
1620,0.00147753
1621,0.00751233
1622,0.00125871
1623,0.01945288
1624,0.00099543
1625,0.00142350
1626,0.00590607
1627,0.00401352
1628,0.00355212
1629,0.00300561
1630,0.00666746
1631,0.01409326
1632,0.00061627
1633,0.02983424
1634,0.00142455
1635,0.00154486
1636,0.00114734
1637,0.00321578
1638,0.00633366
1639,0.01209392
1640,0.00958478
1641,0.00518466
1642,0.01116567
1643,0.02253045
1644,0.00851966
1645,0.00359368
1646,0.00415484
1647,0.04478174
1648,0.02758820
1649,0.01705317
1650,0.00142071
1651,0.00094138
1652,0.00863822
1653,0.00249815
1654,0.00986069
1655,0.00195015
1656,0.01045472
1657,0.01085852
1658,0.00034279
1659,0.00056264
1660,0.00239896
1661,0.00172848
1662,0.00056073
1663,0.02710792
1664,0.00143350
